,BBC Compound,BBC Negative,BBC Neutral,BBC Positive,BBC Tweet date,BBC Tweets,CBS Compound,CBS Negative,CBS Neutral,CBS Positive,CBS Tweet date,CBS Tweets,CNN Compound,CNN Negative,CNN Neutral,CNN Positive,CNN Tweet date,CNN Tweets,Fox Compound,Fox Negative,Fox Neutral,Fox Positive,Fox Tweet date,Fox Tweets,NYT Compound,NYT Negative,NYT Neutral,NYT Positive,NYT Tweet date,NYT Tweets
0,0.6662,0.0,0.777,0.223,Thu Mar 29 03:07:47 +0000 2018,RT @SallyBundockBBC: #Lent ends today - did you give something up? Is it a good period of reflection? Share your story #BBCTheBriefing - se…,-0.5267,0.354,0.423,0.223,Thu Mar 29 05:48:04 +0000 2018,"""Suitcase killer"" executed, says he's ""fought the good fight, I have run the good race"" https://t.co/y72EiS25vo https://t.co/dbXPO9Bm7N",0.0,0.0,1.0,0.0,Thu Mar 29 05:50:05 +0000 2018,"Nearly six years after being shot in the face and neck by the Taliban for advocating for the rights of girls, 20-ye… https://t.co/KczXJChwpU",-0.5859,0.27,0.73,0.0,Thu Mar 29 05:55:00 +0000 2018,.@Corey_Feldman says he was stabbed in attempted murder but police are telling a different story https://t.co/0yJbvYufIr,0.2023,0.0,0.917,0.083,Thu Mar 29 05:41:06 +0000 2018,"RT @NYTmag: Floating villages spread across the surface of the Mekong River’s waterways, playing host to ethnic Vietnamese whose status in…"
1,-0.4939,0.412,0.588,0.0,Thu Mar 29 02:20:41 +0000 2018,Trump loses bid to dismiss hotel lawsuit https://t.co/zYc4ZvNpu9,-0.1027,0.301,0.482,0.217,Thu Mar 29 05:33:04 +0000 2018,Supreme Court justices appear unsettled after gerrymandering case arguments https://t.co/K3G2CAAWNg https://t.co/Xvmw0ibiDU,-0.5106,0.171,0.829,0.0,Thu Mar 29 05:46:06 +0000 2018,"All 22 Democratic and Republican female senators have written a letter expressing their ""deep disappointment"" in th… https://t.co/7Nvy0XQNON",0.3182,0.0,0.859,0.141,Thu Mar 29 05:50:00 +0000 2018,.@POTUS secures trade deal with South Korea ahead of potential meeting with North Korea. https://t.co/gyopb5iQXZ,0.4404,0.0,0.756,0.244,Thu Mar 29 05:21:04 +0000 2018,"These arctic foxes turned ""blue."" It was a good thing. https://t.co/PA6vz2GcCr"
2,-0.872,0.553,0.447,0.0,Thu Mar 29 02:13:36 +0000 2018,Carabobo fire: Scores feared dead in Venezuela police station cells https://t.co/zcYtmKFpqM,-0.891,0.491,0.509,0.0,Thu Mar 29 05:18:04 +0000 2018,"Adea Shabani case: Dead boyfriend suspected in aspiring model's killing, cops say https://t.co/AVTqC6CuLG https://t.co/7x8ebIOCz4",-0.7906,0.333,0.667,0.0,Thu Mar 29 05:46:06 +0000 2018,An Indian national has been charged with people smuggling after allegedly attempting to sneak a team of fake journa… https://t.co/v03L6cU1fX,0.0,0.0,1.0,0.0,Thu Mar 29 05:45:00 +0000 2018,California sets rules for cooperating with feds on immigration https://t.co/Sw0gdpJq1O,0.0,0.0,1.0,0.0,Thu Mar 29 05:02:02 +0000 2018,2 Texas oil companies joined forces in the biggest deal yet in the Southwestern oil patch https://t.co/iLzaXURm1T
3,-0.4019,0.267,0.593,0.141,Thu Mar 29 01:32:53 +0000 2018,NFL cheerleader claims she was fired over Instagram photo https://t.co/40Fv3xINHw,-0.5994,0.243,0.678,0.079,Thu Mar 29 05:03:03 +0000 2018,"Arizona twice investigated, cleared mom before kids found dead in car seats https://t.co/EYcAEpNvTI https://t.co/Q5lMZad8Qe",0.4497,0.0,0.871,0.129,Thu Mar 29 05:31:05 +0000 2018,"A new bill in Kansas would not only authorize the arming of school staff, but would hold schools responsible if a s… https://t.co/r4zRnOlo8Y",0.0,0.0,1.0,0.0,Thu Mar 29 05:40:00 +0000 2018,.@DevinNunes: “The left has continued to say that ‘This is Watergate’ and ‘#Trump’s going to be impeached.’ They’ve… https://t.co/W4M7xx2fru,-0.7778,0.393,0.533,0.074,Thu Mar 29 04:41:06 +0000 2018,RT @EricSchmittNYT: American drone strike in Libya kills top Qaeda recruiter and official warns of more attacks  https://t.co/nrGvlVj6l2
4,0.3612,0.0,0.783,0.217,Thu Mar 29 01:03:17 +0000 2018,"'I felt dead', kidnap survivor Amanda Lindhout tells court https://t.co/NznECdfAAz",0.0,0.0,1.0,0.0,Thu Mar 29 04:48:04 +0000 2018,"Clarissa Slade, Britain's youngest-ever elected councilwoman, dies suddenly at 21 https://t.co/pQImoSwpsR https://t.co/mA2x7egdX2",0.5719,0.0,0.81,0.19,Thu Mar 29 05:16:06 +0000 2018,A federal judge approved $75 million worth of loans to Remington so the company can keep making guns as it works th… https://t.co/TWjRRPzwkj,-0.4767,0.193,0.807,0.0,Thu Mar 29 05:35:00 +0000 2018,"Driver who left child on school bus for 8 hours is suspended, report says https://t.co/hf62gcSnc7",0.0,0.0,1.0,0.0,Thu Mar 29 04:21:04 +0000 2018,"Steven Spielberg ""is the only person who could have made this movie and the last person who should have been allowe… https://t.co/m9H7reZA3R"
5,0.0,0.0,1.0,0.0,Thu Mar 29 00:15:16 +0000 2018,'Lost' film predicting rise of Nazism returns to screen https://t.co/Bbql2v7fel,0.0,0.0,1.0,0.0,Thu Mar 29 04:33:04 +0000 2018,How jewelry designer Kendra Scott built her billion-dollar brand https://t.co/lETIdbYhQD https://t.co/Q6RvUM9tGq,0.6486,0.0,0.823,0.177,Thu Mar 29 05:01:02 +0000 2018,"People may have snickered at President Trump's call for a US ""space force,"" but ""the laughter masks the fact that t… https://t.co/RU7zsonbMb",0.0772,0.0,0.933,0.067,Thu Mar 29 05:30:00 +0000 2018,"""This comes down to public safety.""

Orange County supervisor Michelle Steel comments on her vote to challenge sanc… https://t.co/qt4I3WSE7x",0.0,0.0,1.0,0.0,Thu Mar 29 04:08:47 +0000 2018,"Anbang Was Seized by China. Now, It Has a Deal for You. https://t.co/3ZEHUjWgat"
6,0.3818,0.0,0.698,0.302,Thu Mar 29 00:15:14 +0000 2018,Does Justin Trudeau apologise too much? https://t.co/eOnyBSRlXA,-0.5574,0.286,0.714,0.0,Thu Mar 29 04:24:05 +0000 2018,Howard University says 6 were fired for misappropriating funds https://t.co/wWLKpg9u2x https://t.co/DK6hz7GlUd,0.6808,0.0,0.752,0.248,Thu Mar 29 04:46:03 +0000 2018,"Vice President Mike Pence's hometown of Columbus, Indiana, plans to hold its first LGBT Pride Festival next month… https://t.co/k5Y1mjtBZV",0.0,0.0,1.0,0.0,Thu Mar 29 05:25:00 +0000 2018,Oldest human footprints in North America suggest 'early entrance' into the Americas https://t.co/dJy0ZzpMTp,0.7783,0.0,0.672,0.328,Thu Mar 29 04:02:02 +0000 2018,RT @maggieNYT: Trump called a supporter with a large megaphone - @therealroseanne - to thank her and congratulate her after the Roseanne re…
7,0.0,0.0,1.0,0.0,Thu Mar 29 00:03:00 +0000 2018,Cycling the length of the Dakota Access pipeline https://t.co/7IfdnlMQuh,-0.6486,0.281,0.719,0.0,Thu Mar 29 04:18:04 +0000 2018,"1 dead at BMW Manufacturing plant in South Carolina, coroner says https://t.co/fpwtQwqN8j https://t.co/zWYf7Oxgdu",0.0,0.0,1.0,0.0,Thu Mar 29 04:31:03 +0000 2018,The first case of super-resistant gonorrhea has been reported in the UK https://t.co/KfaN4JEx8e https://t.co/CFTlA806Hd,0.4404,0.0,0.838,0.162,Thu Mar 29 05:20:00 +0000 2018,".@dbongino on the Second Amendment: ""Liberalism is easy to understand, it's everywhere...To actually understand con… https://t.co/ZpCeVz4VWc",0.2263,0.249,0.395,0.356,Thu Mar 29 03:54:55 +0000 2018,"Mireille Knoll, Murdered Holocaust Survivor, Is Honored in Paris https://t.co/CK02eLDlje"
8,0.5106,0.0,0.732,0.268,Wed Mar 28 23:48:28 +0000 2018,Carnival Cruise offers teen free trip for Snapchat handle https://t.co/95YpLMcz9w,0.6124,0.0,0.667,0.333,Thu Mar 29 04:03:04 +0000 2018,Paul Manafort bets on presidential pardon in special counsel case https://t.co/T3P7VAuLWC https://t.co/mgXBtamQ2f,0.34,0.0,0.87,0.13,Thu Mar 29 04:16:02 +0000 2018,"13,000-year-old footprints were found off the coast of a Canadian island, giving researchers insight into life duri… https://t.co/kVVm25t5OX",-0.6597,0.268,0.732,0.0,Thu Mar 29 05:15:00 +0000 2018,Former NFL star Jim Kelly recovering after 12 hours of cancer surgery https://t.co/MRlkVxAOrt,-0.8625,0.407,0.593,0.0,Thu Mar 29 03:47:00 +0000 2018,New police finding in Skripal poisoning case narrows the possibilities for how the victims were sickened https://t.co/8jQNusfhdi
9,0.8786,0.0,0.409,0.591,Wed Mar 28 23:32:23 +0000 2018,Inxeba wins South Africa film award despite ban attempt https://t.co/052nWUIMQj,0.0,0.0,1.0,0.0,Thu Mar 29 03:48:05 +0000 2018,2 airline pilots report seeing UFO while flying over Arizona https://t.co/vwYBvFnnrp https://t.co/M0SYyMVxay,0.0258,0.0,0.948,0.052,Thu Mar 29 04:08:07 +0000 2018,"The White House calls police shootings of black men a ""local matter"" that ""should be left up to the local authoriti… https://t.co/sY2mCtlOfy",-0.3182,0.142,0.769,0.089,Thu Mar 29 05:10:00 +0000 2018,".@KatiePavlich: “When you commit a crime as a U.S. citizen, you don’t get to decide when you get to evade law enfor… https://t.co/UaKfLDk5GW",-0.6705,0.285,0.633,0.081,Thu Mar 29 03:32:03 +0000 2018,A top Morgan Stanley broker was repeatedly accused of violence against ex-wives and girlfriends. Bank managers were… https://t.co/n5WfJMF3sA
